ListID,Titulo,Preco,Marca,Modelo,Versao,Ano,KM,Combustivel,Cambio,Cor,Estado,Municipio,Bairro,CEP,DDD,UnicoDono,IPVA_Pago,Financiado,Opcionais,Link
1500263918,BMW X1 Sdrive 20I X-line 2.0 TB Active Flex 2022,110000,BMW,X1,Sdrive 20I X-line 2.0 TB Active Flex,2022,27100,Flex,Automático,Branco,SP,São Paulo,Vila Sabrina,N/A,11,Sim,Sim,Sim,"air bag, ar condicionado, alarme, bancos de couro, câmera de ré, computador de bordo, conexão usb, controle automático de velocidade, navegador gps, rodas de liga leve, sensor de ré, teto solar, trava elétrica, vidro elétrico, volante multifuncional",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/bmw-x1-sdrive-20i-x-line-2-0-tb-active-flex-2022-1500263918
1531250357,BMW 320I A Modern/sport TB 2.0/a.flex 16V 4P 2020,179900,BMW,320I,A Modern/sport TB 2.0/a.flex 16V 4P,2020,85300,Gasolina,Automático,Cinza,SP,Presidente Prudente,Vila Nova,N/A,18,N/A,Sim,Não,"ar condicionado, alarme, bancos de couro, câmera de ré, computador de bordo, conexão usb, controle automático de velocidade, rodas de liga leve, sensor de ré, som, trava elétrica, vidro elétrico, volante multifuncional",https://sp.olx.com.br/regiao-de-presidente-prudente/autos-e-pecas/carros-vans-e-utilitarios/bmw-320i-a-modern-sport-tb-2-0-a-flex-16v-4p-2020-1531250357
1533103429,BMW 320I A 2.0 TB M Sport Activeflex 16V 4P 2022,199900,BMW,320I,A 2.0 TB M Sport Activeflex 16V 4P,2022,79600,Flex,Automático,Preto,SP,Sorocaba,Parque Residencial Villa dos Inglezes,N/A,15,Sim,Sim,Não,N/A,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/bmw-320i-a-2-0-tb-m-sport-activeflex-16v-4p-2022-1533103429
1525251790,BMW I7 Xdrive 60 M Sport Aut. (elétrico) 2024,888000,BMW,I7,Xdrive 60 M Sport Aut. (elétrico),2024,12106,Elétrico,Automático,Branco,SP,São Paulo,Vila Leopoldina,N/A,11,N/A,Não,Não,"air bag, ar condicionado, alarme, bancos de couro, blindado, câmera de ré, computador de bordo, conexão usb, controle automático de velocidade, navegador gps, rodas de liga leve, sensor de ré, som, teto solar, tração 4x4, trava elétrica, vidro elétrico, volante multifuncional",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/bmw-i7-xdrive-60-m-sport-aut-eletrico-2024-1525251790
1525251911,BMW I7 Xdrive 60 M Sport Aut. (elétrico) 2024,888000,BMW,I7,Xdrive 60 M Sport Aut. (elétrico),2024,12106,Elétrico,Automático,Branco,SP,Barueri,Alphaville Centro Industrial e Empresarial/Alphaville.,N/A,11,N/A,Não,Não,"air bag, ar condicionado, alarme, bancos de couro, blindado, câmera de ré, computador de bordo, conexão usb, controle automático de velocidade, navegador gps, rodas de liga leve, sensor de ré, som, teto solar, tração 4x4, trava elétrica, vidro elétrico, volante multifuncional",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/bmw-i7-xdrive-60-m-sport-aut-eletrico-2024-1525251911
1527150626,BMW i4 E-drive 35 M Sport (elétrico) 2024,324950,BMW,i4,E-drive 35 M Sport (elétrico),2024,17397,Elétrico,Automático,Preto,SP,Barueri,Alphaville Centro Industrial e Empresarial/Alphaville.,N/A,11,N/A,Não,Não,"air bag, ar condicionado, alarme, bancos de couro, câmera de ré, computador de bordo, conexão usb, controle automático de velocidade, navegador gps, rodas de liga leve, sensor de ré, som, teto solar, trava elétrica, vidro elétrico, volante multifuncional",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/bmw-i4-e-drive-35-m-sport-eletrico-2024-1527150626
1527151871,BMW i4 E-drive 35 M Sport (elétrico) 2024,324950,BMW,i4,E-drive 35 M Sport (elétrico),2024,17397,Elétrico,Automático,Preto,SP,São Paulo,Vila Leopoldina,N/A,11,N/A,Não,Não,"air bag, ar condicionado, alarme, bancos de couro, câmera de ré, computador de bordo, conexão usb, controle automático de velocidade, navegador gps, rodas de liga leve, sensor de ré, som, teto solar, trava elétrica, vidro elétrico, volante multifuncional",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/bmw-i4-e-drive-35-m-sport-eletrico-2024-1527151871
1525251793,BMW I7 Xdrive 60 M Sport Aut. (elétrico) 2024,888000,BMW,I7,Xdrive 60 M Sport Aut. (elétrico),2024,12106,Elétrico,Automático,Branco,SP,Guarulhos,Jardim Eugênia,N/A,11,N/A,Não,Não,"air bag, ar condicionado, alarme, bancos de couro, blindado, câmera de ré, computador de bordo, conexão usb, controle automático de velocidade, navegador gps, rodas de liga leve, sensor de ré, som, teto solar, tração 4x4, trava elétrica, vidro elétrico, volante multifuncional",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/bmw-i7-xdrive-60-m-sport-aut-eletrico-2024-1525251793
1527151465,BMW i4 E-drive 35 M Sport (elétrico) 2024,324950,BMW,i4,E-drive 35 M Sport (elétrico),2024,17397,Elétrico,Automático,Preto,SP,Guarulhos,Jardim Eugênia,N/A,11,N/A,Não,Não,"air bag, ar condicionado, alarme, bancos de couro, câmera de ré, computador de bordo, conexão usb, controle automático de velocidade, navegador gps, rodas de liga leve, sensor de ré, som, teto solar, trava elétrica, vidro elétrico, volante multifuncional",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/bmw-i4-e-drive-35-m-sport-eletrico-2024-1527151465
1522748282,BMW 320I 320i 2023,229880,BMW,320I,320i,2023,44200,Flex,Automático,Azul,SP,São Paulo,Vila Norma,N/A,11,N/A,Não,Não,"air bag, ar condicionado, alarme, sensor de ré, som, trava elétrica, vidro elétrico",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/bmw-320i-320i-2023-1522748282
