Municipio,lat,lon
São Paulo,-23.5506507,-46.6333824
Presidente Prudente,-22.1225167,-51.3882528
Sorocaba,-23.5003451,-47.4582864
Barueri,-23.5112184,-46.8764612
Guarulhos,-23.4675941,-46.5277704
Artur Nogueira,-22.572737,-47.172679
Osasco,-23.5324859,-46.7916801
Ribeirão Preto,-21.1776315,-47.8100983
Leme,-22.1844807,-47.385295
Bauru,-22.3173803,-49.0689778
Jundiaí,-23.1887668,-46.884506
São José do Rio Preto,-20.8125851,-49.3804212
Jandira,-23.5282246,-46.902003
Santo André,-23.6533509,-46.5279039
Campinas,-22.9056391,-47.059564
São Bernardo do Campo,-23.7080345,-46.5506747
Americana,-22.7392463,-47.3306032
Limeira,-22.5615068,-47.401766
Mogi das Cruzes,-23.5234284,-46.1926671
São Caetano do Sul,-23.6195923,-46.5688323
Mogi Mirim,-22.433123,-46.958246
São José dos Campos,-23.1867782,-45.8854538
Valinhos,-22.97056,-46.99583
Mauá,-23.6669527,-46.4616922
Franca,-20.5381768,-47.4009795
Matão,-21.6033611,-48.3660603
Praia Grande,-24.008979,-46.4144939
Araçatuba,-21.207992,-50.4390225
Indaiatuba,-23.0908356,-47.2180677
Piracicaba,-22.725165,-47.6493269
Votorantim,-23.5380539,-47.4422137
Santos,-23.9609448,-46.3166316
Itatiba,-23.0055542,-46.8397726
Pilar do Sul,-23.8121684,-47.7201865
Taubaté,-23.031448,-45.5612792
Vinhedo,-23.0298535,-46.9749847
Diadema,-23.6866428,-46.6246935
São Joaquim da Barra,-20.5814993,-47.8608238
Votuporanga,-20.4252908,-49.972028
Santana de Parnaíba,-23.4446715,-46.9167722
Mairiporã,-23.3190348,-46.5876377
Santa Bárbara D'Oeste,-22.7542539,-47.4137884
Jacareí,-23.3050682,-45.9723075
Assis,-22.6620892,-50.420623
Lençóis Paulista,-22.6029897,-48.8031367
Catanduva,-21.1331035,-48.9712817
Paulínia,-22.7630391,-47.1532213
Arujá,-23.396266,-46.3175449
Cotia,-23.603889,-46.918889
Botucatu,-22.8879628,-48.4410712
Serrana,-21.2043614,-47.6048453
Marília,-22.2172002,-49.9500061
Araçoiaba da Serra,-23.5045367,-47.6168158
Barra Bonita,-22.490859,-48.558349
São Carlos,-22.0180395,-47.891154
Sertãozinho,-21.1375782,-47.9913741
Avaré,-23.1045215,-48.9259103
Araras,-22.3569192,-47.3838766
Ipiguá,-20.657282,-49.3881146
Tatuí,-23.3489848,-47.8490165
Osvaldo Cruz,-21.7962773,-50.879119
Guaratinguetá,-22.8057839,-45.1908926
Caraguatatuba,-23.62028,-45.41306
Guarujá,-23.9927768,-46.2558332
Itu,-23.2637798,-47.2998462
São José do Rio Pardo,-21.595288,-46.887303
Suzano,-23.5427842,-46.3108391
Araraquara,-21.7886713,-48.1773096
Mogi Guaçu,-22.372222,-46.9425
Tupã,-21.9349129,-50.5141255
Andradina,-20.896505,-51.3742765
Cosmópolis,-22.6437398,-47.1972086
Rio Claro,-22.4100108,-47.5603933
Birigüi,-21.2908491,-50.34144
Sumaré,-22.8217964,-47.267105
Penápolis,-21.4192406,-50.0765588
Piedade,-23.7074096,-47.4252319
Bertioga,-23.848568,-46.139586
Louveira,-23.08639,-46.95056
Atibaia,-23.1177393,-46.5547861
Guaíra,-20.3245873,-48.3148818
Mirassol,-20.8141411,-49.507449
Taboão da Serra,-23.6121912,-46.7790539
Pereira Barreto,-20.6378509,-51.1052172
Carapicuíba,-23.5234673,-46.8406808
Morro Agudo,-20.7276692,-48.052795
Ribeirão Pires,-23.7134177,-46.4160929
Bilac,-21.403962,-50.47464
Regente Feijó,-22.2191056,-51.3034558
Ourinhos,-22.9777918,-49.868204
São Vicente,-23.9664177,-46.3861401
Lindóia,-22.5229637,-46.6502119
Ibiúna,-23.6544825,-47.220856
Charqueada,-22.50958,-47.775468
Nova Odessa,-22.7805746,-47.2993805
Boa Esperança do Sul,-21.9930206,-48.3917372
Hortolândia,-22.8620175,-47.2164219
Barretos,-20.5531437,-48.5697509
